,player_name,player_height,player_weight,country,Latitude,Longitude,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
0,Dennis Rodman,198.12,99.79024,USA,37.09024,-95.712891,55,5.7,16.1,3.1,16.1,0.186,0.323,0.1,0.479,0.113
1,Dwayne Schintzius,215.9,117.93392,USA,37.09024,-95.712891,15,2.3,1.5,0.3,12.3,0.078,0.151,0.175,0.43,0.048
2,Earl Cureton,205.74,95.25432,USA,37.09024,-95.712891,9,0.8,1,0.4,-2.1,0.105,0.102,0.103,0.376,0.148
3,Ed O'Bannon,203.2,100.697424,USA,37.09024,-95.712891,64,3.7,2.3,0.6,-8.7,0.06,0.149,0.167,0.399,0.077
4,Ed Pinckney,205.74,108.86208,USA,37.09024,-95.712891,27,2.4,2.4,0.2,-11.2,0.109,0.179,0.127,0.611,0.04
5,Eddie Johnson,200.66,97.52228,USA,37.09024,-95.712891,52,8.2,2.7,1,4.1,0.034,0.126,0.22,0.541,0.102
6,Eddie Jones,198.12,86.18248,USA,37.09024,-95.712891,80,17.2,4.1,3.4,4.1,0.035,0.091,0.209,0.559,0.149
7,Elden Campbell,213.36,113.398,USA,37.09024,-95.712891,77,14.9,8,1.6,3.3,0.095,0.183,0.222,0.52,0.087
8,Eldridge Recasner,193.04,86.18248,USA,37.09024,-95.712891,71,5.7,1.6,1.3,-0.3,0.036,0.076,0.172,0.539,0.141
9,Elliot Perry,182.88,72.57472,USA,37.09024,-95.712891,82,6.9,1.5,3,-1.2,0.018,0.081,0.177,0.557,0.262
10,Elmer Bennett,182.88,77.11064,USA,37.09024,-95.712891,9,2.4,0.4,1.2,-7.4,0,0.053,0.187,0.47,0.216
11,Elmore Spencer,213.36,122.46984,USA,37.09024,-95.712891,1,0,0,0,-147.5,0,0,0.126,0,0
12,Emanual Davis,195.58,87.996848,USA,37.09024,-95.712891,13,5,1.7,2,6.6,0.011,0.098,0.144,0.565,0.191
13,Ennis Whatley,190.5,80.285784,USA,37.09024,-95.712891,3,1.3,1,1,-57.4,0,0.15,0.115,0.5,0.375
14,Eric Leckner,210.82,120.20188,USA,37.09024,-95.712891,20,1.7,1.8,0.3,-3.9,0.044,0.258,0.175,0.444,0.067
15,Eric Mobley,210.82,106.59412,USA,37.09024,-95.712891,28,2.6,2.1,0.5,-15.4,0.106,0.102,0.158,0.472,0.076
16,Eric Montross,213.36,122.46984,USA,37.09024,-95.712891,78,4.4,6.6,0.8,-6.6,0.107,0.206,0.112,0.452,0.05
17,Eric Murdock,185.42,86.18248,USA,37.09024,-95.712891,12,3.8,0.9,2,-1.4,0.01,0.102,0.188,0.588,0.436
18,Eric Piatkowski,200.66,97.52228,USA,37.09024,-95.712891,65,6,1.6,0.8,2.4,0.071,0.088,0.22,0.579,0.111
19,Eric Snow,190.5,90.7184,USA,37.09024,-95.712891,67,3,1,2.4,-1.2,0.027,0.085,0.145,0.515,0.339
20,Eric Williams,203.2,99.79024,USA,37.09024,-95.712891,72,15,4.6,1.8,-6.8,0.057,0.107,0.207,0.533,0.087
21,Erick Dampier,210.82,120.20188,USA,37.09024,-95.712891,72,5.1,4.1,0.6,-2,0.107,0.216,0.218,0.451,0.074
22,Erick Strickland,190.5,95.25432,USA,37.09024,-95.712891,28,10.6,3.2,2.4,-6.4,0.032,0.112,0.216,0.51,0.161
23,Ervin Johnson,210.82,111.13004,USA,37.09024,-95.712891,82,7.1,11.1,0.9,-5.9,0.103,0.294,0.114,0.543,0.042
24,Duane Ferrell,200.66,97.52228,USA,37.09024,-95.712891,62,6.4,2.3,1.1,2.3,0.066,0.091,0.181,0.521,0.1
25,Duane Causwell,213.36,108.86208,USA,37.09024,-95.712891,46,2.6,2.8,0.4,-11.8,0.112,0.143,0.111,0.535,0.056
26,Doug West,198.12,99.79024,USA,37.09024,-95.712891,68,7.8,2.2,1.7,-3.1,0.024,0.07,0.143,0.505,0.092
27,Doug Overton,190.5,86.18248,USA,37.09024,-95.712891,61,3.6,1.1,1.7,-1.3,0.031,0.085,0.172,0.514,0.258
28,Dell Demps,190.5,92.98636,USA,37.09024,-95.712891,2,1,0,0,-53.7,0,0,0.185,0.258,0
29,Dennis Scott,203.2,106.59412,USA,37.09024,-95.712891,66,12.5,3.1,2.1,1.9,0.021,0.092,0.188,0.519,0.106
30,Derek Fisher,185.42,90.7184,USA,37.09024,-95.712891,80,3.9,1.2,1.5,5.1,0.031,0.087,0.186,0.491,0.223
31,Derek Harper,193.04,93.439952,USA,37.09024,-95.712891,75,10,1.8,4.3,-7.7,0.016,0.057,0.181,0.516,0.252
32,Derek Strong,205.74,108.86208,USA,37.09024,-95.712891,82,8.5,6.3,0.9,-0.7,0.1,0.208,0.182,0.513,0.064
33,Derrick Alston,210.82,102.0582,USA,37.09024,-95.712891,2,0,2,0,-39.9,0.188,0.2,0.213,0,0
