player_name,player_height,player_weight
Freddie Gillespie,205.74,111.13004
Georges Niang,200.66,104.32616
George King,198.12,99.79024
George Hill,193.04,85.275296
Gary Trent Jr.,195.58,94.800728
Gary Payton II,190.5,88.45044
Gary Harris,193.04,95.25432
Garrison Mathews,195.58,97.52228
Georgios Kalaitzakis,200.66,87.089664
Garrett Temple,195.58,88.45044
Gabriel Lundberg,193.04,92.079176
Gabe York,190.5,86.18248
Gabe Vincent,190.5,90.7184
Furkan Korkmaz,200.66,91.625584
Gary Clark,198.12,102.0582
Gabriel Deck,198.12,104.779752
Hassan Whiteside,213.36,120.20188
Goga Bitadze,213.36,113.398
Immanuel Quickley,190.5,86.18248
Ignas Brazdeikis,198.12,100.243832
Herbert Jones,200.66,93.439952
Haywood Highsmith,193.04,99.79024
Hassani Gravett,187.96,84.821704
Harrison Barnes,203.2,102.0582
Giannis Antetokounmpo,210.82,109.769264
Hamidou Diallo,195.58,91.625584
Greg Brown III,200.66,93.439952
Grayson Allen,193.04,89.811216
Grant Williams,198.12,107.047712
Gorgui Dieng,208.28,112.490816
Gordon Hayward,200.66,102.0582
Goran Dragic,190.5,86.18248
Greg Monroe,208.28,113.398
Fred VanVleet,185.42,89.357624
Dorian Finney-Smith,200.66,99.79024
Frank Ntilikina,193.04,90.7184
Duncan Robinson,200.66,97.52228
Duane Washington Jr.,190.5,89.357624
Drew Eubanks,205.74,111.13004
Draymond Green,198.12,104.32616
Doug McDermott,200.66,102.0582
Donte DiVincenzo,193.04,92.079176
Donovan Mitchell,185.42,97.52228
Domantas Sabonis,210.82,108.86208
Dillon Brooks,200.66,102.0582
Didi Louzada,195.58,85.275296
Dewayne Dedmon,213.36,111.13004
Devonte' Graham,185.42,88.45044
Devontae Cacok,200.66,108.86208
Devon Dotson,185.42,83.91452
Isaac Bonga,203.2,81.64656
Dwight Howard,208.28,120.20188
Franz Wagner,208.28,99.79024
Dwight Powell,208.28,108.86208
Ed Davis,205.74,98.883056
Frank Kaminsky,213.36,108.86208
Frank Jackson,190.5,92.98636
Feron Hunt,203.2,88.45044
Facundo Campazzo,177.8,88.45044
Evan Mobley,210.82,97.52228
Evan Fournier,198.12,92.98636
Eugene Omoruyi,198.12,106.59412
Eric Paschall,198.12,115.66596
Eric Gordon,190.5,97.52228
Eric Bledsoe,185.42,97.068688
Enes Freedom,208.28,113.398
Emmanuel Mudiay,190.5,90.7184
Emanuel Terry,205.74,99.79024
Elijah Hughes,195.58,97.52228
Elfrid Payton,190.5,88.45044
Dylan Windler,198.12,88.904032
Isaac Okoro,195.58,102.0582
Jeff Green,203.2,106.59412
Isaiah Jackson,208.28,92.98636
Jayson Tatum,203.2,95.25432
Jaysean Paige,187.96,90.7184
Jaylen Nowell,193.04,91.171992
Jaylen Morris,195.58,83.91452
Jaylen Hoard,203.2,97.975872
Jaylen Brown,198.12,101.151016
Jay Scrubb,195.58,99.79024
Jay Huff,215.9,108.86208
Jaxson Hayes,210.82,99.79024
Javonte Smart,193.04,92.98636
Javonte Green,195.58,92.98636
Javin DeLaurier,208.28,106.140528
Jarron Cumberland,195.58,92.98636
Jarrett Culver,198.12,88.45044
Jarrett Allen,208.28,110.222856
Jeff Dowtin,190.5,80.285784
Jarred Vanderbilt,205.74,97.068688
Devin Vassell,195.58,90.7184
Jerami Grant,203.2,95.25432
